idade,sexo,cor_raca,anos_estudo,setor,regiao,rendimento_hora
19,F,Branca,12,Industria,Norte,8.75
34,M,Parda,0,Comercio,Norte,9.375
30,F,Parda,12,Industria,Norte,6.25
32,M,Preta,12,Industria,Norte,11.25
28,M,Branca,12,Agricultura,Norte,12.5
55,F,Preta,16,Servicos,Norte,18.75
52,M,Branca,6,Agricultura,Norte,9.375
35,M,Parda,10,Agricultura,Norte,9.375
58,F,Parda,0,Servicos,Norte,0.3125
40,M,Parda,0,Agricultura,Norte,5.0
60,M,Branca,4,Agricultura,Norte,5.0
28,F,Parda,12,Servicos,Norte,4.375
48,F,Branca,9,Servicos,Norte,9.375
28,F,Branca,16,Servicos,Norte,18.75
45,M,Parda,12,Servicos,Norte,14.375
47,F,Branca,5,Comercio,Norte,9.375
51,M,Branca,5,Comercio,Norte,9.375
36,M,Parda,12,Servicos,Norte,15.625
53,M,Indigena,4,Industria,Norte,10.0
33,M,Parda,12,Servicos,Norte,12.5
27,F,Parda,12,Servicos,Norte,12.5
41,M,Parda,3,Agricultura,Norte,7.5
41,M,Branca,7,Agricultura,Norte,15.625
45,M,Branca,12,Agricultura,Norte,18.75
36,M,Parda,7,Agricultura,Norte,8.125
53,M,Parda,5,Agricultura,Norte,12.5
44,M,Parda,5,Construcao,Norte,15.625
40,M,Parda,8,Agricultura,Norte,13.75
49,M,Parda,3,Agricultura,Norte,11.875
37,M,Branca,16,Industria,Norte,5.0
30,F,Branca,16,Servicos,Norte,18.75
23,M,Parda,12,Industria,Norte,10.0
35,M,Parda,8,Industria,Norte,7.575
56,M,Parda,16,Servicos,Norte,31.25
35,M,Parda,16,Servicos,Norte,8.75
32,F,Parda,16,Servicos,Norte,13.75
52,F,Branca,5,Industria,Norte,31.25
56,M,Branca,5,Industria,Norte,31.25
26,F,Branca,5,Industria,Norte,12.5
52,M,Branca,4,Agricultura,Norte,8.125
50,F,Parda,2,Agricultura,Norte,8.125
42,M,Branca,5,Agricultura,Norte,13.75
34,M,Parda,12,Agricultura,Norte,6.25
27,F,Branca,16,Comercio,Norte,15.625
37,F,Parda,5,Agricultura,Norte,6.25
43,M,Parda,5,Agricultura,Norte,6.25
41,F,Branca,12,Agricultura,Norte,5.0
41,M,Parda,9,Agricultura,Norte,5.0
45,F,Branca,5,Agricultura,Norte,12.5
39,M,Branca,12,Servicos,Norte,8.1375
